Station,Latitude_D,Longitude_D
Beldon_BDL_1,38.1869,-121.9708
GEORGIANA_SLOUGH_AT_MOKELUMNE_RIVER_B94100,38.1295,-121.5838889
GRANT_LINE_CANAL_AT_TRACY_ROAD_BRIDGE_B95300,37.820111,-121.449833
MIDDLE_RIVER_AT_BACON_ISLAND_B95460,38.00172222,-121.5238056
MIDDLE_RIVER_AT_BORDEN_HIGHWAY_B95500,37.89083333,-121.4883333
MIDDLE_RIVER_AT_MIDDLE_RIVER_B95468,37.94252778,-121.534
MIDDLE_RIVER_NEAR_MOWRY_BRIDGE_B95540,37.83527778,-121.3836111
MIDDLE_RIVER_AT_TRACY_ROAD_B95503,37.88138889,-121.4561111
MOKELUMNE_RIVER_AT_NEW_HOPE_LANDING_B94150,38.22527778,-121.4908333
MOKELUMNE_RIVER_NEAR_THORNTON_B94175,38.25527778,-121.44
OLD_RIVER_AT BACON_ISLAND_B95250,37.97063889,-121.5720833
OLD_RIVER_AT_CLIFTON_COURT_FERRY_B95340,37.82861111,-121.5530556
OLD_RIVER_AT_HEAD_B95400,37.8076089,-121.331253
OLD_RIVER_NEAR_DMC_ABOVE_DAM_B95366,37.81055556,-121.5422222
OLD_RIVER_NEAR_DMC_BELOW_DAM_B95365,37.81111111,-121.5438889
OLD_RIVER_NEAR_BYRON_B95270,37.89111111,-121.5691667
SACRAMENTO_RIVER_AT_I_STREET_BRIDGE_A02100,38.58861111,-121.505
SACRAMENTO_RIVER_AT_MALLARD_ISLAND_MAL,38.042805,-121.92009
SACRAMENTO_RIVER_AT_RIO_VISTA_NEW_STATION_B91212,38.15972222,-121.6863889
SACRAMENTO_RIVER_AT_SNODGRASS_SLOUGH_B91750,38.34958333,-121.5335556
SACRAMENTO_RIVER_AT_WALNUT_GROVE_B91650,38.24222222,-121.5166667
SACRAMENTO_RIVER_AT_COLLINSVILLE_B91110,38.07361111,-121.855
SAN_JOAQUIN_RIVER_AT_ANTIOCH_B95020,38.01777778,-121.8030556
SAN_JOAQUIN_RIVER_AT_BRANDT_BRIDGE_B95740,37.8646267,-121.3230811
SAN_JOAQUIN_RIVER_AT_MOSSDALE_BRIDGE_B95820,37.7861406,-121.3064897
SAN_JOAQUIN_RIVER_AT_RINDGE_PUMP_B95620,37.99722222,-121.4194444
SAN_JOAQUIN_RIVER_AT_SAN_ANDREAS_LANDING_B95100,38.10333333,-121.5913889
SAN_JOAQUIN_RIVER_AT_VENICE_ISLAND_B95580,38.05,-121.4966667
SAN_JOAQUIN_RIVER_AT_VERNALIS_B0702000,37.676111,-121.26417
STOCKTON_SHIP_CANAL_AT_BURNS_CUTOFF_B95660,37.9627067,-121.3655556
THREEMILE_SLOUGH_AT_SAN_JOAQUIN_RIVER_NEW_STATION_B95060,38.09,-121.6869444
TOM_PAINE_SLOUGH_ABOVE_INTAKE_STRUCTURE_B95421,37.79011111,-121.4185278
TOM_PAINE_SLOUGH_ABOVE_MOUTH_B95420,37.79058333,-121.4185833
TOM_PAINE_SLOUGH_AT_PESCADERO_PUMPING_PLANT_6_B95425,37.76738889,-121.3510833
YOLO_BYPASS_AT_LIBERTY_ISLAND_B91510,38.32916667,-121.6938889
YOLO_BYPASS_NEAR_LISBON_NEW_STATION_B91560,38.4747608,-121.5885961
